image_name,labels,is_train,is_valid
img/crop-tee-with-A-line-skirt/00000ctls1.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls2.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls3.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls4.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls5.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls6.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls7.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls8.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls9.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls10.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls11.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls12.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls13.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls14.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls15.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls16.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls17.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls18.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls19.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls20.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls21.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls22.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls23.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls24.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls25.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls26.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls27.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls28.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls29.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls30.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls31.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls32.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls33.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls34.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls35.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls36.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls37.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls38.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls39.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls40.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls41.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls42.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls43.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls44.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls45.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls46.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls47.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls48.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls49.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls50.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls51.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls52.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls53.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls54.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls55.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls56.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls57.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls58.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls59.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls60.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls61.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls62.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls63.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls64.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls65.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls66.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls67.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls68.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls69.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls70.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls71.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls72.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls73.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls74.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls75.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls76.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls77.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls78.jpg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls79.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls80.jpeg,crop-tee-with-A-line-skirt,0,1
img/crop-tee-with-A-line-skirt/00000ctls81.jpeg,crop-tee-with-A-line-skirt,0,1
